home_club_manager_name,total_win,total_games,win_rate
Abdullah Avci,114,158,72.15189873417721
Abel Ferreira,60,69,86.95652173913044
Abel Resino,10,16,62.5
Abelardo,58,76,76.31578947368422
Achim Beierlorzer,20,22,90.9090909090909
Adi Hütter,86,109,78.89908256880734
Adnan Custovic,25,28,89.28571428571429
Adolfo Sormani,8,12,66.66666666666666
Adrian Gula,11,13,84.61538461538461
Adrian Ursea,11,13,84.61538461538461
Adrie Koster,46,55,83.63636363636363
Adrie Poldervaart,18,21,85.71428571428571
Age Hareide,23,26,88.46153846153845
Aitor Karanka,16,22,72.72727272727273
Alain Casanova,45,75,60.0
Alan Archibald,73,97,75.25773195876289
Alan Irvine,7,10,70.0
Alan Pardew,101,121,83.47107438016529
Albert Capellas,9,12,75.0
Albert Cartier,15,19,78.94736842105263
Albert Celades,12,19,63.1578947368421
Albert Emon,9,11,81.81818181818183
Albert Stuivenberg,9,17,52.94117647058824
Alekos Vosniadis,16,22,72.72727272727273
Aleksandar Jankovic,34,53,64.15094339622641
Aleksandar Stanojevic,13,18,72.22222222222221
Aleksandr Ermakovich,15,21,71.42857142857143
Aleksandr Grigoryan,27,30,90.0
Aleksandr Kerzhakov,12,15,80.0
Aleksandr Khatskevich,41,50,82.0
Aleksandr Pobegalov,11,11,100.0
Aleksandr Storozhuk,17,19,89.47368421052632
Aleksandr Tarkhanov,38,51,74.50980392156863
Aleksandr Tochilin,12,14,85.71428571428571
Aleksandr Tsygankov,8,14,57.14285714285714
Aleksey Baga,8,12,66.66666666666666
Aleksey Berezutski,13,16,81.25
Aleksey Poddubskiy,9,13,69.23076923076923
Aleksey Shpilevski,9,10,90.0
Aleksey Stukalov,19,28,67.85714285714286
Alessio Dionisi,37,49,75.51020408163265
Alessio Lisci,10,12,83.33333333333334
Alex Dyer,17,20,85.0
Alex McLeish,9,12,75.0
Alex Neil,28,36,77.77777777777779
Alex Pastoor,44,58,75.86206896551724
Alexander Blessin,38,50,76.0
Alexander Nouri,21,24,87.5
Alexander Zorniger,49,59,83.05084745762711
Alfons Groenendijk,48,65,73.84615384615385
Alfred Schreuder,47,59,79.66101694915254
Allan Johnston,31,37,83.78378378378379
Allan Kuhn,10,12,83.33333333333334
Anatoliy Bezsmertnyi,17,21,80.95238095238095
Anatoliy Chantsev,10,14,71.42857142857143
Anatoliy Demyanenko,9,13,69.23076923076923
Anatoliy Momot,8,15,53.333333333333336
Andoni Iraola,48,61,78.68852459016394
Andrea Mandorlini,41,54,75.92592592592592
Andrea Pirlo,36,44,81.81818181818183
Andrea Sottil,18,30,60.0
Andrea Stramaccioni,55,71,77.46478873239437
Andreas Alm,34,45,75.55555555555556
Andrey Gordeev,11,15,73.33333333333333
Andrey Kobelev,14,21,66.66666666666666
Andrey Talalaev,55,65,84.61538461538461
Andrey Tikhonov,10,11,90.9090909090909
André Breitenreiter,61,79,77.21518987341773
André Schubert,26,33,78.78787878787878
André Villas-Boas,92,116,79.3103448275862
Andy Morrison,8,10,80.0
Ange Postecoglou,48,53,90.56603773584906
Angel Chervenkov,17,18,94.44444444444444
Angelo Alessio,10,15,66.66666666666666
Angelos Anastasiadis,33,40,82.5
Ante Cacic,13,17,76.47058823529412
Ante Simundza,18,24,75.0
Antoine Kombouaré,92,125,73.6
Anton Janssen,13,18,72.22222222222221
Antonio Conte,158,185,85.4054054054054
António Folha,16,25,64.0
Apostolos Mantzios,81,119,68.0672268907563
Apostolos Terzis,10,12,83.33333333333334
Argirios Giannikis,23,29,79.3103448275862
Ariel Jacobs,27,38,71.05263157894737
Armando Evangelista,32,41,78.04878048780488
Armin Veh,44,61,72.1311475409836
Arnar Vidarsson,9,10,90.0
Arnauld Mercier,9,11,81.81818181818183
Arne Slot,66,85,77.64705882352942
Arsène Wenger,134,163,82.20858895705521
Art Langeler,21,26,80.76923076923077
Artur Jorge,30,36,83.33333333333334
Asier Garitano,57,76,75.0
Athanasios Staikos,15,22,68.18181818181817
Augusto Inácio,18,26,69.23076923076923
Aurelio Andreazzoli,40,50,80.0
Auri Skarbalius,27,38,71.05263157894737
Aykut Kocaman,93,130,71.53846153846153
Babis Tennes,26,40,65.0
Barak Bakhar,31,39,79.48717948717949
Barry Robson,10,13,76.92307692307693
Barry Smith,16,18,88.88888888888889
Bayram Bektas,11,11,100.0
Bernard Blaquart,26,33,78.78787878787878
Bernard Casoni,10,15,66.66666666666666
Bernd Hollerbach,37,50,74.0
Bernd Schuster,17,20,85.0
Bernd Storck,38,47,80.85106382978722
Besnik Hasi,35,51,68.62745098039215
Beñat San José,21,31,67.74193548387096
Bo Henriksen,57,80,71.25
Bo Svensson,36,50,72.0
Bob Peeters,27,35,77.14285714285715
Boyukaga Haciyev,5,10,50.0
Brendan Rodgers,209,257,81.32295719844358
Brian McDermott,14,20,70.0
Brian Priske,47,55,85.45454545454545
Brian Rice,30,41,73.17073170731707
Brian Riemer,11,15,73.33333333333333
Bruno Génésio,114,140,81.42857142857143
Bruno Irles,8,17,47.05882352941176
Bruno Labbadia,69,92,75.0
Bruno Lage,44,55,80.0
Bruno Pinheiro,9,17,52.94117647058824
Bruno Ribeiro,11,14,78.57142857142857
Bülent Korkmaz,47,63,74.60317460317461
Bülent Uygun,33,45,73.33333333333333
Cagdas Atan,31,37,83.78378378378379
Callum Davidson,42,54,77.77777777777779
Capucho,10,11,90.9090909090909
Carit Falch,9,13,69.23076923076923
Carl Hoefkens,16,22,72.72727272727273
Carlo Ancelotti,203,249,81.52610441767068
Carlos Carvalhal,75,98,76.53061224489795
Carlos Pinto,9,13,69.23076923076923
Casquilha,7,12,58.333333333333336
Cedomir Janevski,24,33,72.72727272727273
Cesare Prandelli,21,36,58.333333333333336
Chris Coleman,13,22,59.09090909090909
Chris Hughton,55,83,66.26506024096386
Chris O'Loughlin,10,13,76.92307692307693
Chris Wilder,44,51,86.27450980392157
Christian Bracconi,8,12,66.66666666666666
Christian Gourcuff,59,83,71.08433734939759
Christian Ilzer,10,13,76.92307692307693
Christian Lönstrup,18,18,100.0
Christian Nielsen,13,16,81.25
Christian Streich,147,198,74.24242424242425
Christoph Daum,8,13,61.53846153846154
Christophe Galtier,164,226,72.56637168141593
Christophe Pélissier,67,89,75.28089887640449
Cihat Arslan,30,43,69.76744186046511
Clarence Seedorf,15,20,75.0
Claude Makélélé,23,29,79.3103448275862
Claude Puel,128,173,73.98843930635837
Claudio Ranieri,113,144,78.47222222222221
Claus Nörgaard,23,30,76.66666666666667
Colin Todd,58,83,69.87951807228916
Constantin Galca,24,33,72.72727272727273
Cosmin Contra,14,20,70.0
Costinha,19,24,79.16666666666666
Craig Brown,9,18,50.0
Craig Levein,31,46,67.3913043478261
Craig Shakespeare,10,13,76.92307692307693
Cristian Bucchi,18,20,90.0
Cuco Ziganda,19,27,70.37037037037037
César Peixoto,23,29,79.3103448275862
Dag-Eilev Fagermo,8,10,80.0
Damir Canadi,37,51,72.54901960784314
Damir Krznar,8,14,57.14285714285714
Dan Petrescu,37,50,74.0
Daniel Farke,39,47,82.97872340425532
Daniel Ramos,71,94,75.53191489361703
Daniel Sanchez,17,24,70.83333333333334
Daniel Sousa,7,11,63.63636363636363
Daniel Stendel,13,16,81.25
Danny Buijs,68,85,80.0
Danny Cowley,10,11,90.9090909090909
Danny Lennon,31,44,70.45454545454545
Darije Kalezic,14,20,70.0
Darko Milanic,16,23,69.56521739130434
Darrell Clarke,10,11,90.9090909090909
Darren Abdilla,8,13,61.53846153846154
